,run_id,grid_variable,lr,final_loss,status
0,LLMRANDOM-39309,Plasticity_Standard_Cosine,0.001,3.93765625,running
1,LLMRANDOM-39308,Plasticity_Standard_Cosine,0.0005,4.0562109375,running
2,LLMRANDOM-39307,Plasticity_Standard_WSD,0.001,3.883125,running
3,LLMRANDOM-39306,Plasticity_Standard_WSD,0.0005,3.9752734375,running
4,LLMRANDOM-39305,Plasticity_Repeated_Cosine,0.001,3.9542578125,running
5,LLMRANDOM-39304,Plasticity_Repeated_Cosine,0.0005,4.0698828125,running
6,LLMRANDOM-39303,Plasticity_Repeated_WSD,0.001,3.909140625,running
7,LLMRANDOM-39302,Plasticity_Repeated_WSD,0.0005,3.9937109375,running
8,LLMRANDOM-39301,Plasticity_Repeated_WSD,0.001,3.9087109375,running
9,LLMRANDOM-39300,Plasticity_Repeated_WSD,0.0005,3.9935546875,running
10,LLMRANDOM-39299,Plasticity_Standard_Cosine,0.02,3.85171875,running
11,LLMRANDOM-39298,Plasticity_Standard_Cosine,0.01,3.7634375,running
12,LLMRANDOM-39297,Plasticity_Standard_Cosine,0.005,3.7655078125,running
13,LLMRANDOM-39296,Plasticity_Standard_Cosine,0.002,3.843828125,running
14,LLMRANDOM-39295,Plasticity_Standard_WSD,0.02,4.137890625,running
15,LLMRANDOM-39294,Plasticity_Standard_WSD,0.01,3.8069921875,running
16,LLMRANDOM-39293,Plasticity_Standard_WSD,0.005,3.7650390625,running
17,LLMRANDOM-39292,Plasticity_Standard_WSD,0.002,3.818515625,running
18,LLMRANDOM-39291,Plasticity_Repeated_Cosine,0.02,4.071328125,running
19,LLMRANDOM-39290,Plasticity_Repeated_Cosine,0.01,4.03375,running
20,LLMRANDOM-39289,Plasticity_Repeated_Cosine,0.005,3.85796875,running
21,LLMRANDOM-39288,Plasticity_Repeated_Cosine,0.002,3.8833984375,running
22,LLMRANDOM-39287,Plasticity_Repeated_WSD,0.02,4.62078125,running
23,LLMRANDOM-39286,Plasticity_Repeated_WSD,0.01,3.9275390625,running
24,LLMRANDOM-39285,Plasticity_Repeated_WSD,0.005,3.878984375,running
25,LLMRANDOM-39284,Plasticity_Repeated_WSD,0.002,3.86,running
