bin_left,bin_right,count
10,10,0
10,10,0
10,11,0
11,11,0
11,11,0
11,12,0
12,12,0
12,13,0
13,13,0
13,14,0
14,14,0
14,15,1
15,15,0
15,16,0
16,16,0
16,17,0
17,17,0
17,18,0
18,19,0
19,19,0
19,20,0
20,21,0
21,22,1
22,22,0
22,23,0
23,24,0
24,25,0
25,26,0
26,27,0
27,28,0
28,29,0
29,30,0
30,31,0
31,32,1
32,33,0
33,34,2
34,35,1
35,37,2
37,38,1
38,39,1
39,41,1
41,42,0
42,44,1
44,45,0
45,47,2
47,48,2
48,50,0
50,52,1
52,54,1
54,56,1
56,58,1
58,60,1
60,62,0
62,64,2
64,66,1
66,69,3
69,71,3
71,74,3
74,76,5
76,79,0
79,82,2
82,85,2
85,88,2
88,91,1
91,94,2
94,97,6
97,101,2
101,104,3
104,108,6
108,112,3
112,116,5
116,120,4
120,124,3
124,128,2
128,133,3
133,138,1
138,142,1
142,147,5
147,153,3
153,158,2
158,164,9
164,169,5
169,175,2
175,181,3
181,188,6
188,194,3
194,201,6
201,208,4
208,216,3
216,223,2
223,231,4
231,239,5
239,248,2
248,257,3
257,266,1
266,275,4
275,285,3
285,295,3
295,305,3
305,316,4
316,327,4
327,338,4
338,350,0
350,363,3
363,375,5
375,389,8
389,402,2
402,416,3
416,431,5
431,446,3
446,462,2
462,478,4
478,495,2
495,512,6
512,530,2
530,549,2
549,568,4
568,588,4
588,609,3
609,630,4
630,653,3
653,676,1
676,699,1
699,724,2
724,749,2
749,776,0
776,803,3
803,831,0
831,860,1
860,891,3
891,922,3
922,954,3
954,988,2
988,1023,2
1023,1059,2
1059,1096,2
1096,1135,2
1135,1174,2
1174,1216,0
1216,1258,0
1258,1303,7
1303,1348,1
1348,1396,1
1396,1445,1
1445,1496,2
1496,1548,3
1548,1603,0
1603,1659,0
1659,1717,1
1717,1778,1
1778,1840,1
1840,1905,1
1905,1972,0
1972,2041,0
2041,2113,0
2113,2187,0
2187,2264,0
2264,2344,0
2344,2426,0
2426,2511,0
2511,2600,1
2600,2691,0
2691,2786,0
2786,2884,0
2884,2985,1
2985,3090,0
3090,3198,0
3198,3311,1
3311,3427,1
3427,3548,0
3548,3672,0
3672,3801,0
3801,3935,0
3935,4073,0
4073,4216,1
4216,4365,0
4365,4518,0
4518,4677,0
4677,4841,0
4841,5011,0
5011,5188,0
5188,5370,0
5370,5559,1
5559,5754,0
5754,5956,0
5956,6165,0
6165,6382,0
6382,6606,0
6606,6839,0
6839,7079,0
7079,7328,0
7328,7585,0
7585,7852,0
7852,8128,0
8128,8413,0
8413,8709,0
8709,9015,0
9015,9332,0
9332,9660,0
9660,10000,0
