bin_left,bin_right,count
10,59,20
59,109,45
109,159,32
159,209,37
209,259,19
259,309,16
309,359,12
359,409,17
409,459,12
459,509,11
509,559,9
559,609,7
609,659,7
659,709,4
709,759,2
759,809,3
809,859,1
859,909,5
909,959,4
959,1009,4
1009,1058,2
1058,1108,2
1108,1158,3
1158,1208,1
1208,1258,0
1258,1308,7
1308,1358,1
1358,1408,1
1408,1458,3
1458,1508,1
1508,1558,2
1558,1608,0
1608,1658,0
1658,1708,1
1708,1758,0
1758,1808,1
1808,1858,1
1858,1908,1
1908,1958,0
1958,2008,0
2008,2057,0
2057,2107,0
2107,2157,0
2157,2207,0
2207,2257,0
2257,2307,0
2307,2357,0
2357,2407,0
2407,2457,0
2457,2507,0
2507,2557,1
2557,2607,0
2607,2657,0
2657,2707,0
2707,2757,0
2757,2807,0
2807,2857,0
2857,2907,0
2907,2957,1
2957,3007,0
3007,3056,0
3056,3106,0
3106,3156,0
3156,3206,0
3206,3256,1
3256,3306,0
3306,3356,0
3356,3406,1
3406,3456,0
3456,3506,0
3506,3556,0
3556,3606,0
3606,3656,0
3656,3706,0
3706,3756,0
3756,3806,0
3806,3856,0
3856,3906,0
3906,3956,0
3956,4006,0
4006,4055,0
4055,4105,0
4105,4155,0
4155,4205,1
4205,4255,0
4255,4305,0
4305,4355,0
4355,4405,0
4405,4455,0
4455,4505,0
4505,4555,0
4555,4605,0
4605,4655,0
4655,4705,0
4705,4755,0
4755,4805,0
4805,4855,0
4855,4905,0
4905,4955,0
4955,5005,0
5005,5054,0
5054,5104,0
5104,5154,0
5154,5204,0
5204,5254,0
5254,5304,0
5304,5354,0
5354,5404,0
5404,5454,0
5454,5504,1
5504,5554,0
5554,5604,0
5604,5654,0
5654,5704,0
5704,5754,0
5754,5804,0
5804,5854,0
5854,5904,0
5904,5954,0
5954,6004,0
6004,6053,0
6053,6103,0
6103,6153,0
6153,6203,0
6203,6253,0
6253,6303,0
6303,6353,0
6353,6403,0
6403,6453,0
6453,6503,0
6503,6553,0
6553,6603,0
6603,6653,0
6653,6703,0
6703,6753,0
6753,6803,0
6803,6853,0
6853,6903,0
6903,6953,0
6953,7003,0
7003,7052,0
7052,7102,0
7102,7152,0
7152,7202,0
7202,7252,0
7252,7302,0
7302,7352,0
7352,7402,0
7402,7452,0
7452,7502,0
7502,7552,0
7552,7602,0
7602,7652,0
7652,7702,0
7702,7752,0
7752,7802,0
7802,7852,0
7852,7902,0
7902,7952,0
7952,8002,0
8002,8051,0
8051,8101,0
8101,8151,0
8151,8201,0
8201,8251,0
8251,8301,0
8301,8351,0
8351,8401,0
8401,8451,0
8451,8501,0
8501,8551,0
8551,8601,0
8601,8651,0
8651,8701,0
8701,8751,0
8751,8801,0
8801,8851,0
8851,8901,0
8901,8951,0
8951,9001,0
9001,9050,0
9050,9100,0
9100,9150,0
9150,9200,0
9200,9250,0
9250,9300,0
9300,9350,0
9350,9400,0
9400,9450,0
9450,9500,0
9500,9550,0
9550,9600,0
9600,9650,0
9650,9700,0
9700,9750,0
9750,9800,0
9800,9850,0
9850,9900,0
9900,9950,0
9950,10000,0
