,run_id,grid_variable,lr,final_loss,status
0,LLMRANDOM-39569,1024,0.05,5.0140625,running
1,LLMRANDOM-39568,1024,0.02,4.551875,running
2,LLMRANDOM-39562,1024,0.01,4.2559375,complete
3,LLMRANDOM-39561,1024,0.005,4.15140625,complete
4,LLMRANDOM-39560,1024,0.002,4.1071875,complete
5,LLMRANDOM-39554,1024,0.001,4.2859375,complete
6,LLMRANDOM-39552,768,0.02,4.46375,complete
7,LLMRANDOM-39551,768,0.05,4.8071875,complete
8,LLMRANDOM-39545,768,0.01,4.2990625,complete
9,LLMRANDOM-39543,768,0.005,4.1859375,complete
10,LLMRANDOM-39542,768,0.002,4.14609375,complete
11,LLMRANDOM-39538,768,0.001,4.3715625,complete
12,LLMRANDOM-39537,512,0.05,4.80875,complete
13,LLMRANDOM-39536,512,0.02,4.5290625,complete
14,LLMRANDOM-39529,512,0.01,4.368125,complete
15,LLMRANDOM-39528,512,0.005,4.255625,complete
16,LLMRANDOM-39527,512,0.002,4.2125,complete
17,LLMRANDOM-39520,512,0.001,4.4053125,complete
18,LLMRANDOM-39519,256,0.05,4.9475,complete
19,LLMRANDOM-39518,256,0.02,4.72,complete
20,LLMRANDOM-39515,256,0.01,4.5609375,complete
21,LLMRANDOM-39513,256,0.005,4.4565625,complete
22,LLMRANDOM-39511,256,0.002,4.403125,complete
23,LLMRANDOM-39506,256,0.001,4.530625,complete
24,LLMRANDOM-39496,128,0.05,5.165,complete
25,LLMRANDOM-39495,128,0.02,4.951875,complete
26,LLMRANDOM-39493,128,0.01,4.8290625,complete
27,LLMRANDOM-39492,128,0.005,4.7496875,complete
28,LLMRANDOM-39488,128,0.002,4.7234375,complete
29,LLMRANDOM-39487,128,0.001,4.8053125,complete
30,LLMRANDOM-39486,64,0.05,5.4771875,complete
31,LLMRANDOM-39485,64,0.02,5.289375,complete
32,LLMRANDOM-39480,64,0.001,5.13125,complete
33,LLMRANDOM-39479,64,0.005,5.1034375,complete
34,LLMRANDOM-39478,64,0.01,5.1978125,complete
35,LLMRANDOM-39477,64,0.002,5.1159375,complete
