bin_left,bin_right,count
4.999999999999999,5.255247392917712,1
5.255247392917712,5.5235250321536835,0
5.5235250321536835,5.805498104988274,0
5.805498104988274,6.10186575616567,1
6.10186575616567,6.413362821404701,0
6.413362821404701,6.740761649404489,0
6.740761649404489,7.084874016862529,7
7.084874016862529,7.446553141253451,0
7.446553141253451,7.826695796359079,0
7.826695796359079,8.226244535795216,8
8.226244535795216,8.64619003004828,0
8.64619003004828,9.087573522816466,12
9.087573522816466,9.551489412745855,0
9.551489412745855,10.039087966962757,27
10.039087966962757,10.551578173130524,0
10.551578173130524,11.090230737102328,29
11.090230737102328,11.65638123360258,0
11.65638123360258,12.25143341774898,30
12.25143341774898,12.876862705626056,0
12.876862705626056,13.53421983254013,32
13.53421983254013,14.225134698026345,39
14.225134698026345,14.951320407141253,0
14.951320407141253,15.71457751806129,66
15.71457751806129,16.51679850651898,75
16.51679850651898,17.359972458146206,86
17.359972458146206,18.24619000035923,112
18.24619000035923,19.177648486013823,121
19.177648486013823,20.156657441683297,150
20.156657441683297,21.185644294068307,185
21.185644294068307,22.267160388736894,182
22.267160388736894,23.403887316118027,236
23.403887316118027,24.598643560433846,245
24.598643560433846,25.854391488056415,283
25.854391488056415,27.17424469261648,620
27.17424469261648,28.561475715076142,370
28.561475715076142,30.019524157907288,786
30.019524157907288,31.55200521349452,446
31.55200521349452,33.16271862790864,1022
33.16271862790864,34.85565812227611,580
34.85565812227611,36.63502129510452,1227
36.63502129510452,38.505220030116575,1241
38.505220030116575,40.47089143539861,1409
40.47089143539861,42.53690934098688,1495
42.53690934098688,44.70839638339969,1590
44.70839638339969,46.99073670707859,1674
46.99073670707859,49.38958931423146,2620
49.38958931423146,51.91090209617828,1919
51.91090209617828,54.56092658098952,3105
54.56092658098952,57.346233433984,3248
57.346233433984,60.27372874951901,3393
60.27372874951901,63.35067117446785,3324
63.35067117446785,66.58468990584184,3420
66.58468990584184,69.98380360718195,3394
69.98380360718195,73.55644029062165,4682
73.55644029062165,77.31145821391938,4649
77.31145821391938,81.25816784427332,4627
81.25816784427332,85.40635494337748,4435
85.40635494337748,89.7663048309578,4242
89.7663048309578,94.34882788694955,5447
94.34882788694955,99.16528635554674,5273
99.16528635554674,104.22762251758512,5189
104.22762251758512,109.54838830111015,5210
109.54838830111015,115.1407764035492,5862
115.1407764035492,121.01865300265467,5648
121.01865300265467,127.19659213732288,5497
127.19659213732288,133.68991184353678,5175
133.68991184353678,140.51471213502913,5870
140.51471213502913,147.68791492283898,5663
147.68791492283898,155.2273059727404,6204
155.2273059727404,163.15157900457683,5999
163.15157900457683,171.48038204284217,5685
171.48038204284217,180.23436613343597,5996
180.23436613343597,189.43523654738323,5955
189.43523654738323,199.10580659847705,6206
199.10580659847705,209.270054208285,5980
209.270054208285,219.9531813587677,5733
219.9531813587677,231.1816765799242,6613
231.1816765799242,242.98338062739853,5773
242.98338062739853,255.38755551289375,6475
255.38755551289375,268.4249570585523,6080
268.4249570585523,282.1279111552013,6204
282.1279111552013,296.5303939135384,5917
296.5303939135384,311.66811590699706,6027
311.66811590699706,327.5786107151644,6101
327.5786107151644,344.3013279872949,6213
344.3013279872949,361.87773125666763,5930
361.87773125666763,380.3514007483156,6372
380.3514007483156,399.76814143503725,6014
399.76814143503725,420.17609660960784,6129
420.17609660960784,441.6258672547967,5864
441.6258672547967,464.1706375071589,6085
464.1706375071589,487.86630652568954,5743
487.86630652568954,512.7716270923048,5877
512.7716270923048,538.9483512878019,5733
538.9483512878019,566.4613836045041,5468
566.4613836045041,595.3789418752264,5375
