bin_left,bin_right,count,suf_sum
1,1,0,300
1,1,0,300
1,1,0,300
1,1,0,300
1,1,0,300
1,1,0,300
1,1,0,300
1,1,0,300
1,1,0,300
1,1,0,300
1,1,0,300
1,2,0,300
2,2,0,300
2,2,0,300
2,2,0,300
2,2,0,300
2,2,0,300
2,3,0,300
3,3,0,300
3,3,0,300
3,3,0,300
3,3,0,300
3,4,0,300
4,4,0,300
4,4,0,300
4,5,0,300
5,5,0,300
5,5,0,300
5,6,0,300
6,6,0,300
6,6,0,300
6,7,0,300
7,7,0,300
7,8,0,300
8,8,0,300
8,9,0,300
9,10,0,300
10,10,0,300
10,11,0,300
11,12,0,300
12,12,0,300
12,13,0,300
13,14,0,300
14,15,1,300
15,16,0,299
16,17,0,299
17,18,0,299
18,19,0,299
19,21,0,299
21,22,1,299
22,24,0,298
24,25,0,298
25,27,0,298
27,29,0,298
29,30,0,298
30,32,1,298
32,35,3,297
35,37,2,294
37,39,2,292
39,42,1,290
42,44,1,289
44,47,2,288
47,50,2,286
50,54,2,284
54,57,1,282
57,61,2,281
61,65,3,279
65,69,3,276
69,74,6,273
74,78,5,267
78,83,4,262
83,89,3,258
89,95,4,255
95,101,6,251
101,107,7,245
107,114,6,238
114,121,8,232
121,129,5,224
129,138,4,219
138,147,6,215
147,156,4,209
156,166,13,205
166,177,5,192
177,188,8,187
188,200,8,179
200,213,8,171
213,227,5,163
227,242,7,158
242,257,4,151
257,274,4,147
274,292,7,143
292,310,6,136
310,330,5,130
330,352,4,125
352,374,7,121
374,398,11,114
398,424,4,103
424,451,7,99
451,481,6,92
481,511,8,86
511,544,3,78
544,580,9,75
580,617,5,66
617,657,5,61
657,699,2,56
699,744,4,54
744,792,2,50
792,843,2,48
843,897,5,46
897,955,4,41
955,1016,4,37
1016,1082,4,33
1082,1152,3,29
1152,1226,1,26
1226,1305,7,25
1305,1389,2,18
1389,1478,3,16
1478,1573,3,13
1573,1675,1,10
1675,1782,1,9
1782,1897,2,8
1897,2019,0,6
2019,2149,0,6
2149,2288,0,6
2288,2435,0,6
2435,2592,1,6
2592,2759,0,5
2759,2936,0,5
2936,3125,1,5
3125,3326,1,4
3326,3541,1,3
3541,3769,0,2
3769,4011,0,2
4011,4269,1,2
4269,4544,0,1
4544,4837,0,1
4837,5148,0,1
5148,5480,0,1
5480,5832,1,1
5832,6208,0,0
6208,6608,0,0
6608,7033,0,0
7033,7486,0,0
7486,7967,0,0
7967,8480,0,0
8480,9026,0,0
9026,9607,0,0
9607,10226,0,0
10226,10884,0,0
10884,11585,0,0
11585,12330,0,0
12330,13124,0,0
13124,13969,0,0
13969,14868,0,0
14868,15825,0,0
15825,16844,0,0
16844,17928,0,0
17928,19082,0,0
19082,20311,0,0
20311,21618,0,0
21618,23010,0,0
23010,24491,0,0
24491,26068,0,0
26068,27746,0,0
27746,29532,0,0
29532,31433,0,0
31433,33456,0,0
33456,35610,0,0
35610,37902,0,0
37902,40342,0,0
40342,42938,0,0
42938,45702,0,0
45702,48644,0,0
48644,51776,0,0
51776,55108,0,0
55108,58656,0,0
58656,62432,0,0
62432,66450,0,0
66450,70728,0,0
70728,75281,0,0
75281,80126,0,0
80126,85284,0,0
85284,90774,0,0
90774,96617,0,0
96617,102837,0,0
102837,109456,0,0
109456,116502,0,0
116502,124001,0,0
124001,131983,0,0
131983,140479,0,0
140479,149522,0,0
149522,159146,0,0
159146,169391,0,0
169391,180295,0,0
180295,191900,0,0
191900,204253,0,0
204253,217401,0,0
217401,231395,0,0
231395,246290,0,0
246290,262143,0,0
